Value for threshold delta,"EULER mit Epsilon=0.01,EULER mit Epsilon=0.001,EULER mit Epsilon=0.00010,EULER mit Epsilon=0.000010"
0.989,"8,13,8,13"
0.990,"8,8,8,13"
0.991,"8,8,8,13"
0.992,"8,8,8,13"
0.993,"8,8,13,13"
0.994,"8,13,13,13"
0.995,"8,13,13,13"
0.996,"8,13,8,13"
0.997,"8,13,8,13"
0.998,"8,13,8,13"
0.999,"8,13,13,13"
1.000,"10,10,10,13"
